Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
60	660	BI0216	1	1994-01-31	Fältmässig köksväxtodling	Institutionen för växtvetenskap	unk
61	660	BI0217	1	1994-01-31	Dendrologi	Institutionen för växtvetenskap	unk
62	660	BI0218	1	1994-01-31	Trädgårdsproduktlära	Institutionen för växtvetenskap	unk
63	660	BI0219	1	1996-05-14	Gräs och gräsytor	Institutionen för växtvetenskap	unk
64	660	BI0220	1	1994-01-31	Rotens funktion och miljö	Institutionen för växtvetenskap	unk
65	660	BI0221	1	1994-01-31	Växthuskulturers produktionsfysiologi	Institutionen för växtvetenskap	unk
66	660	BI0222	1	1994-01-31	Frukt- och bärodling	Institutionen för växtvetenskap	unk
67	660	BI0223	1	1994-01-31	Tillväxtanalys	Institutionen för växtvetenskap	unk
68	660	BI0224	1	1992-09-21	Floristik och systematisk botanik	Institutionen för växtvetenskap	unk
69	660	BI0228	1	1992-05-18	Marklära och ekologi	Institutionen för växtvetenskap	unk
70	380	BI0239	1	1995-09-13	Fiskbiologi inriktad mot odlingsbiologi och  fiskevård	Institutionen för vattenbruk	unk
71	251	BI0240	1	1994-11-15	Fiskbiologi, projektbaserad fördjupningskurs	Institutionen för vilt, fisk och miljö	vfm
72	251	BI0241	1	1994-11-15	Fiskbiologi med inriktning på fiskevård	Institutionen för vilt, fisk och miljö	vfm
73	251	BI0244	1	1995-12-08	Fiskodling	Institutionen för vilt, fisk och miljö	vfm
74	380	BI0245	1	1997-05-16	Fiskevård	Institutionen för vattenbruk	unk
75	660	BI0253	1	1994-02-14	Kulturväxternas ursprung, utveckling och förädling	Institutionen för växtvetenskap	unk
76	660	BI0257	1	1994-12-07	Genetik och växtförädling	Institutionen för växtvetenskap	unk
77	480	BI0258	1	1995-12-06	Växtförädling	Institutionen för växtbiologi	vbsg
78	660	BI0259	1	1996-04-12	Genetik och växtförädling	Institutionen för växtvetenskap	unk
79	480	BI0276	1	1996-04-01	Växtfysiologi	Institutionen för växtbiologi	vbsg
80	480	BI0277	1	1997-10-06	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
81	480	BI0278	1	1995-09-13	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
82	660	BI0281	1	2001-03-07	Ekologi, markbiologi och miljöskydd	Institutionen för växtvetenskap	unk
83	481	BI0282	1	1995-09-13	Tillämpad växtfysiologi (produktionsfysiologi)	Institutionen för växtbiologi	vbsg
84	621	BI0285	1	1995-12-15	Fritidsodling/planering och sådd	Institutionen för landskapsplanering, Ultuna	lpul
85	441	BI0290	1	1994-03-11	Växtproduktionslära	Institutionen för ekologi och växtproduktionslära	evp
86	441	BI0292	1	1994-02-18	Vallfoders produktion och användning	Institutionen för ekologi och växtproduktionslära	evp
87	441	BI0293	1	1994-02-18	Översiktskurs i växtodlingslära	Institutionen för ekologi och växtproduktionslära	evp
88	441	BI0295	1	1994-11-07	Uthålligt åkerbruk, nationella och globala  förutsättningar	Institutionen för ekologi och växtproduktionslära	evp
89	441	BI0297	1	1996-12-03	Växtodlingslära	Institutionen för ekologi och växtproduktionslära	evp
90	441	BI0298	1	1997-10-29	Internationell växtodling	Institutionen för ekologi och växtproduktionslära	evp
91	481	BI0315	1	1996-11-05	Molekylära interaktioner mellan växter och växtskadegörare	Institutionen för växtbiologi	vbsg
92	390	BI0319	1	1996-11-05	Växtpatologi	Institutionen för skoglig mykologi och växtpatologi	mykopat
93	441	BI0329	1	1996-11-05	Jordburna växtpatogener	Institutionen för ekologi och växtproduktionslära	evp
94	660	BI0331	1	1996-04-12	Växtskyddsvetenskap, grundkurs	Institutionen för växtvetenskap	unk
95	660	BI0333	1	1997-09-30	Tillämpningskurs i växtskyddsvetenskap	Institutionen för växtvetenskap	unk
96	320	BI0347	1	1998-05-25	Biologisk introduktionskurs	Institutionen för naturvårdsbiologi	nvb
97	545	BI0348	1	1998-06-11	Agroskötsel	Institutionen för skogens biomaterial och teknologi	sbt
98	550	BI0349	1	2002-06-13	Functional foods - Mervärdesmat	Institutionen för livsmedelsvetenskap	lmv
99	540	BI0350	1	2002-05-03	Odling av växter till livsmedel	Institutionen för norrländsk jordbruksvetenskap	njv
100	670	BI0351	1	2002-10-17	Genomanalys - Husdjur	Institutionen för husdjursgenetik	hgen
101	712	BI0353	1	2002-10-22	Husdjurens fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
102	500	BI0354	1	2002-10-17	Översiktskurs i växtodlingslära	Institutionen för växtproduktionsekologi	vpe
103	440	BI0355	1	2002-10-28	Växtodlingslära I - resurshushållning, beståndsekologi och produktionsbiologi	Institutionen för växtproduktionsekologi	vpe
104	120	BI0356	1	1996-04-12	Mikrobiologi	Fakulteten för landskapsarkitektur, trädgårds- och växtproduktionsvetenskap,	ltv
105	561	BI0363	1	1998-06-11	Baskurs	Institutionen för lantbruksteknik	ltul
106	610	BI0364	1	1998-06-11	Flora- och faunavård	Institutionen för landskapsplanering, Alnarp	lpal
107	561	BI0365	1	1998-06-11	Trädvård	Institutionen för lantbruksteknik	ltul
108	410	BI0368	1	1998-10-22	Entomologi för biologilärare - distanskurs	Institutionen för entomologi	entom
109	320	BI0369	1	1998-10-22	Botanik, påbyggnadskurs	Institutionen för naturvårdsbiologi	nvb
110	441	BI0370	1	1998-10-22	Livsmedlen i kretsloppet - distanskurs	Institutionen för ekologi och växtproduktionslära	evp
111	550	BI0371	1	1998-10-22	Animaliska livsmedel	Institutionen för livsmedelsvetenskap	lmv
112	550	BI0372	1	1998-10-22	Växtproduktlära	Institutionen för livsmedelsvetenskap	lmv
113	530	BI0373	1	1998-10-22	Precisionsodling	Institutionen för jordbruksvetenskap Skara	unk
114	880	BI0374	1	1998-10-22	Marknadsinriktad nötköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
115	441	BI0375	1	1998-10-22	Växtproduktionsekologi	Institutionen för ekologi och växtproduktionslära	evp
116	390	BI0376	1	1999-10-21	Biologisk bekämpning	Institutionen för skoglig mykologi och växtpatologi	mykopat
117	481	BI0377	1	1998-10-28	Växtbioteknik och biokemi	Institutionen för växtbiologi	vbsg
118	500	BI0378	1	1998-10-28	Fältvecka - Kulturväxter och ogräs i fält	Institutionen för växtproduktionsekologi	vpe
119	415	BI0379	1	1998-10-28	Bin, biodling och pollinering	Institutionen för ekologi	ekol
