Programkod	Programanmkod	Program	Läsår	Läsår_link0
LM009	81048.1819	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	18/19 	ramschema.cfm?programkod=LM009&selLasar=1819&sprak=sv&programanmkod=81048.1819
LM009	81048.1920	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	19/20 	ramschema.cfm?programkod=LM009&selLasar=1920&sprak=sv&programanmkod=81048.1920
LM009	81048.2021	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	20/21 	ramschema.cfm?programkod=LM009&selLasar=2021&sprak=sv&programanmkod=81048.2021
LM009	81049.2122	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	21/22 	ramschema.cfm?programkod=LM009&selLasar=2122&sprak=sv&programanmkod=81049.2122
LM009	81049.2223	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	22/23 	ramschema.cfm?programkod=LM009&selLasar=2223&sprak=sv&programanmkod=81049.2223
LM010	81003.2122	Food and Landscape	21/22 	ramschema.cfm?programkod=LM010&selLasar=2122&sprak=sv&programanmkod=81003.2122
LM010	81004.2223	Food and Landscape	22/23 	ramschema.cfm?programkod=LM010&selLasar=2223&sprak=sv&programanmkod=81004.2223
LY001	91021.0910	Landskapsingenjörsprogrammet - Alnarp	09/10 	ramschema.cfm?programkod=LY001&selLasar=0910&sprak=sv&programanmkod=91021.0910
LY001	91021.1011	Landskapsingenjörsprogrammet - Alnarp	10/11 	ramschema.cfm?programkod=LY001&selLasar=1011&sprak=sv&programanmkod=91021.1011
LY001	91021.1112	Landskapsingenjörsprogrammet - Alnarp	11/12 	ramschema.cfm?programkod=LY001&selLasar=1112&sprak=sv&programanmkod=91021.1112
LY001	91021.1213	Landskapsingenjörsprogrammet - Alnarp	12/13 	ramschema.cfm?programkod=LY001&selLasar=1213&sprak=sv&programanmkod=91021.1213
LY001	91021.1314	Landskapsingenjörsprogrammet - Alnarp	13/14 	ramschema.cfm?programkod=LY001&selLasar=1314&sprak=sv&programanmkod=91021.1314
LY001	91021.1415	Landskapsingenjörsprogrammet - Alnarp	14/15 	ramschema.cfm?programkod=LY001&selLasar=1415&sprak=sv&programanmkod=91021.1415
LY001	91021.1516	Landskapsingenjörsprogrammet - Alnarp	15/16 	ramschema.cfm?programkod=LY001&selLasar=1516&sprak=sv&programanmkod=91021.1516
LY001	91021.1617	Landskapsingenjörsprogrammet - Alnarp	16/17 	ramschema.cfm?programkod=LY001&selLasar=1617&sprak=sv&programanmkod=91021.1617
LY001	91021.1718	Landskapsingenjörsprogrammet - Alnarp	17/18 	ramschema.cfm?programkod=LY001&selLasar=1718&sprak=sv&programanmkod=91021.1718
LY001	91021.1819	Landskapsingenjörsprogrammet - Alnarp	18/19 	ramschema.cfm?programkod=LY001&selLasar=1819&sprak=sv&programanmkod=91021.1819
LY001	91021.1920	Landskapsingenjörsprogrammet - Alnarp	19/20 	ramschema.cfm?programkod=LY001&selLasar=1920&sprak=sv&programanmkod=91021.1920
LY001	91021.2021	Landskapsingenjörsprogrammet - Alnarp	20/21 	ramschema.cfm?programkod=LY001&selLasar=2021&sprak=sv&programanmkod=91021.2021
LY001	91021.2122	Landskapsingenjörsprogrammet - Alnarp	21/22 	ramschema.cfm?programkod=LY001&selLasar=2122&sprak=sv&programanmkod=91021.2122
LY001	91012.2223	Landskapsingenjörsprogrammet - Alnarp	22/23 	ramschema.cfm?programkod=LY001&selLasar=2223&sprak=sv&programanmkod=91012.2223
LY002	91022.0910	Landskapsarkitektprogrammet, Alnarp	09/10 	ramschema.cfm?programkod=LY002&selLasar=0910&sprak=sv&programanmkod=91022.0910
LY002	91022.1011	Landskapsarkitektprogrammet, Alnarp	10/11 	ramschema.cfm?programkod=LY002&selLasar=1011&sprak=sv&programanmkod=91022.1011
LY002	91022.1112	Landskapsarkitektprogrammet, Alnarp	11/12 	ramschema.cfm?programkod=LY002&selLasar=1112&sprak=sv&programanmkod=91022.1112
LY002	91022.1213	Landskapsarkitektprogrammet, Alnarp	12/13 	ramschema.cfm?programkod=LY002&selLasar=1213&sprak=sv&programanmkod=91022.1213
LY002	91022.1314	Landskapsarkitektprogrammet, Alnarp	13/14 	ramschema.cfm?programkod=LY002&selLasar=1314&sprak=sv&programanmkod=91022.1314
LY002	91022.1415	Landskapsarkitektprogrammet, Alnarp	14/15 	ramschema.cfm?programkod=LY002&selLasar=1415&sprak=sv&programanmkod=91022.1415
LY002	91022.1516	Landskapsarkitektprogrammet, Alnarp	15/16 	ramschema.cfm?programkod=LY002&selLasar=1516&sprak=sv&programanmkod=91022.1516
LY002	91022.1617	Landskapsarkitektprogrammet, Alnarp	16/17 	ramschema.cfm?programkod=LY002&selLasar=1617&sprak=sv&programanmkod=91022.1617
LY002	91022.1718	Landskapsarkitektprogrammet, Alnarp	17/18 	ramschema.cfm?programkod=LY002&selLasar=1718&sprak=sv&programanmkod=91022.1718
LY002	91022.1819	Landskapsarkitektprogrammet, Alnarp	18/19 	ramschema.cfm?programkod=LY002&selLasar=1819&sprak=sv&programanmkod=91022.1819
LY002	91022.1920	Landskapsarkitektprogrammet, Alnarp	19/20 	ramschema.cfm?programkod=LY002&selLasar=1920&sprak=sv&programanmkod=91022.1920
LY002	91022.2021	Landskapsarkitektprogrammet, Alnarp	20/21 	ramschema.cfm?programkod=LY002&selLasar=2021&sprak=sv&programanmkod=91022.2021
LY002	91022.2122	Landskapsarkitektprogrammet, Alnarp	21/22 	ramschema.cfm?programkod=LY002&selLasar=2122&sprak=sv&programanmkod=91022.2122
LY002	91022.2223	Landskapsarkitektprogrammet, Alnarp	22/23 	ramschema.cfm?programkod=LY002&selLasar=2223&sprak=sv&programanmkod=91022.2223
LY003	91023.0910	Hortonomprogrammet	09/10 	ramschema.cfm?programkod=LY003&selLasar=0910&sprak=sv&programanmkod=91023.0910
LY003	91023.1011	Hortonomprogrammet	10/11 	ramschema.cfm?programkod=LY003&selLasar=1011&sprak=sv&programanmkod=91023.1011
LY003	91023.1112	Hortonomprogrammet	11/12 	ramschema.cfm?programkod=LY003&selLasar=1112&sprak=sv&programanmkod=91023.1112
LY003	91023.1213	Hortonomprogrammet	12/13 	ramschema.cfm?programkod=LY003&selLasar=1213&sprak=sv&programanmkod=91023.1213
LY003	91023.1314	Hortonomprogrammet	13/14 	ramschema.cfm?programkod=LY003&selLasar=1314&sprak=sv&programanmkod=91023.1314
LY003	91023.1415	Hortonomprogrammet	14/15 	ramschema.cfm?programkod=LY003&selLasar=1415&sprak=sv&programanmkod=91023.1415
LY003	91023.1516	Hortonomprogrammet	15/16 	ramschema.cfm?programkod=LY003&selLasar=1516&sprak=sv&programanmkod=91023.1516
LY003	91023.1617	Hortonomprogrammet	16/17 	ramschema.cfm?programkod=LY003&selLasar=1617&sprak=sv&programanmkod=91023.1617
LY003	91023.1718	Hortonomprogrammet	17/18 	ramschema.cfm?programkod=LY003&selLasar=1718&sprak=sv&programanmkod=91023.1718
LY003	91023.1819	Hortonomprogrammet	18/19 	ramschema.cfm?programkod=LY003&selLasar=1819&sprak=sv&programanmkod=91023.1819
LY003	91023.1920	Hortonomprogrammet	19/20 	ramschema.cfm?programkod=LY003&selLasar=1920&sprak=sv&programanmkod=91023.1920
LY003	91023.2021	Hortonomprogrammet	20/21 	ramschema.cfm?programkod=LY003&selLasar=2021&sprak=sv&programanmkod=91023.2021
LY003	91023.2122	Hortonomprogrammet	21/22 	ramschema.cfm?programkod=LY003&selLasar=2122&sprak=sv&programanmkod=91023.2122
LY003	91023.2223	Hortonomprogrammet	22/23 	ramschema.cfm?programkod=LY003&selLasar=2223&sprak=sv&programanmkod=91023.2223
LY007	91027.0910	Lantmästarprogrammet	09/10 	ramschema.cfm?programkod=LY007&selLasar=0910&sprak=sv&programanmkod=91027.0910
LY008	91035.1415	Landskapsarkitektprogrammet, Ultuna	14/15 	ramschema.cfm?programkod=LY008&selLasar=1415&sprak=sv&programanmkod=91035.1415
LY008	91035.1516	Landskapsarkitektprogrammet, Ultuna	15/16 	ramschema.cfm?programkod=LY008&selLasar=1516&sprak=sv&programanmkod=91035.1516
LY008	91035.1617	Landskapsarkitektprogrammet, Ultuna	16/17 	ramschema.cfm?programkod=LY008&selLasar=1617&sprak=sv&programanmkod=91035.1617
LY008	91035.1718	Landskapsarkitektprogrammet, Ultuna	17/18 	ramschema.cfm?programkod=LY008&selLasar=1718&sprak=sv&programanmkod=91035.1718
LY008	91035.1819	Landskapsarkitektprogrammet, Ultuna	18/19 	ramschema.cfm?programkod=LY008&selLasar=1819&sprak=sv&programanmkod=91035.1819
LY008	91035.1920	Landskapsarkitektprogrammet, Ultuna	19/20 	ramschema.cfm?programkod=LY008&selLasar=1920&sprak=sv&programanmkod=91035.1920
LY008	91035.2021	Landskapsarkitektprogrammet, Ultuna	20/21 	ramschema.cfm?programkod=LY008&selLasar=2021&sprak=sv&programanmkod=91035.2021
LY008	91035.2122	Landskapsarkitektprogrammet, Ultuna	21/22 	ramschema.cfm?programkod=LY008&selLasar=2122&sprak=sv&programanmkod=91035.2122
LY009	91001.1718	Landskapsarkitektprogrammet - Uppsala	17/18 	ramschema.cfm?programkod=LY009&selLasar=1718&sprak=sv&programanmkod=91001.1718
LY009	91037.1819	Landskapsarkitektprogrammet - Uppsala	18/19 	ramschema.cfm?programkod=LY009&selLasar=1819&sprak=sv&programanmkod=91037.1819
LY009	91037.1920	Landskapsarkitektprogrammet - Uppsala	19/20 	ramschema.cfm?programkod=LY009&selLasar=1920&sprak=sv&programanmkod=91037.1920
LY009	91037.2021	Landskapsarkitektprogrammet - Uppsala	20/21 	ramschema.cfm?programkod=LY009&selLasar=2021&sprak=sv&programanmkod=91037.2021
LY009	91037.2122	Landskapsarkitektprogrammet - Uppsala	21/22 	ramschema.cfm?programkod=LY009&selLasar=2122&sprak=sv&programanmkod=91037.2122
LY009	91037.2223	Landskapsarkitektprogrammet - Uppsala	22/23 	ramschema.cfm?programkod=LY009&selLasar=2223&sprak=sv&programanmkod=91037.2223
LY010	91001.1920	Landskapsingenjörsprogrammet - Uppsala	19/20 	ramschema.cfm?programkod=LY010&selLasar=1920&sprak=sv&programanmkod=91001.1920
LY010	91001.2021	Landskapsingenjörsprogrammet - Uppsala	20/21 	ramschema.cfm?programkod=LY010&selLasar=2021&sprak=sv&programanmkod=91001.2021
LY010	91052.2122	Landskapsingenjörsprogrammet - Uppsala	21/22 	ramschema.cfm?programkod=LY010&selLasar=2122&sprak=sv&programanmkod=91052.2122
LY010	91052.2223	Landskapsingenjörsprogrammet - Uppsala	22/23 	ramschema.cfm?programkod=LY010&selLasar=2223&sprak=sv&programanmkod=91052.2223
LY011	91057.2122	Trädgårdsingenjörsprogrammet – design	21/22 	ramschema.cfm?programkod=LY011&selLasar=2122&sprak=sv&programanmkod=91057.2122
LY011	91057.2223	Trädgårdsingenjörsprogrammet – design	22/23 	ramschema.cfm?programkod=LY011&selLasar=2223&sprak=sv&programanmkod=91057.2223
LY012	91058.2122	Trädgårdsingenjörsprogrammet – odling	21/22 	ramschema.cfm?programkod=LY012&selLasar=2122&sprak=sv&programanmkod=91058.2122
LY012	91058.2223	Trädgårdsingenjörsprogrammet – odling	22/23 	ramschema.cfm?programkod=LY012&selLasar=2223&sprak=sv&programanmkod=91058.2223
NG001	81015.0910	Miljökommunikation - magisterprogram	09/10 	ramschema.cfm?programkod=NG001&selLasar=0910&sprak=sv&programanmkod=81015.0910
NG001	81015.1011	Miljökommunikation - magisterprogram	10/11 	ramschema.cfm?programkod=NG001&selLasar=1011&sprak=sv&programanmkod=81015.1011
NG004	81007.0910	Livsmedelstillsyn - magisterprogram	09/10 	ramschema.cfm?programkod=NG004&selLasar=0910&sprak=sv&programanmkod=81007.0910
NG004	81007.1011	Livsmedelstillsyn - magisterprogram	10/11 	ramschema.cfm?programkod=NG004&selLasar=1011&sprak=sv&programanmkod=81007.1011
NG004	81007.1112	Livsmedelstillsyn - magisterprogram	11/12 	ramschema.cfm?programkod=NG004&selLasar=1112&sprak=sv&programanmkod=81007.1112
NG007	81079.2122	Livsmedelstillsyn - magisterprogram	21/22 	ramschema.cfm?programkod=NG007&selLasar=2122&sprak=sv&programanmkod=81079.2122
NK001	91006.0910	Biologi och miljövetenskap - kandidatprogram	09/10 	ramschema.cfm?programkod=NK001&selLasar=0910&sprak=sv&programanmkod=91006.0910
NK001	91006.1011	Biologi och miljövetenskap - kandidatprogram	10/11 	ramschema.cfm?programkod=NK001&selLasar=1011&sprak=sv&programanmkod=91006.1011
NK001	91006.1112	Biologi och miljövetenskap - kandidatprogram	11/12 	ramschema.cfm?programkod=NK001&selLasar=1112&sprak=sv&programanmkod=91006.1112
NK001	91006.1213	Biologi och miljövetenskap - kandidatprogram	12/13 	ramschema.cfm?programkod=NK001&selLasar=1213&sprak=sv&programanmkod=91006.1213
NK001	91006.1314	Biologi och miljövetenskap - kandidatprogram	13/14 	ramschema.cfm?programkod=NK001&selLasar=1314&sprak=sv&programanmkod=91006.1314
NK001	91006.1415	Biologi och miljövetenskap - kandidatprogram	14/15 	ramschema.cfm?programkod=NK001&selLasar=1415&sprak=sv&programanmkod=91006.1415
NK001	91006.1516	Biologi och miljövetenskap - kandidatprogram	15/16 	ramschema.cfm?programkod=NK001&selLasar=1516&sprak=sv&programanmkod=91006.1516
NK001	91006.1617	Biologi och miljövetenskap - kandidatprogram	16/17 	ramschema.cfm?programkod=NK001&selLasar=1617&sprak=sv&programanmkod=91006.1617
NK001	91006.1718	Biologi och miljövetenskap - kandidatprogram	17/18 	ramschema.cfm?programkod=NK001&selLasar=1718&sprak=sv&programanmkod=91006.1718
NK001	91006.1819	Biologi och miljövetenskap - kandidatprogram	18/19 	ramschema.cfm?programkod=NK001&selLasar=1819&sprak=sv&programanmkod=91006.1819
NK001	91006.1920	Biologi och miljövetenskap - kandidatprogram	19/20 	ramschema.cfm?programkod=NK001&selLasar=1920&sprak=sv&programanmkod=91006.1920
NK001	91006.2021	Biologi och miljövetenskap - kandidatprogram	20/21 	ramschema.cfm?programkod=NK001&selLasar=2021&sprak=sv&programanmkod=91006.2021
NK001	91006.2122	Biologi och miljövetenskap - kandidatprogram	21/22 	ramschema.cfm?programkod=NK001&selLasar=2122&sprak=sv&programanmkod=91006.2122
NK001	91006.2223	Biologi och miljövetenskap - kandidatprogram	22/23 	ramschema.cfm?programkod=NK001&selLasar=2223&sprak=sv&programanmkod=91006.2223
NK002	91007.0910	Biologi med inriktning mot bioteknik - kandidatprogram	09/10 	ramschema.cfm?programkod=NK002&selLasar=0910&sprak=sv&programanmkod=91007.0910
NK002	91007.1011	Biologi med inriktning mot bioteknik - kandidatprogram	10/11 	ramschema.cfm?programkod=NK002&selLasar=1011&sprak=sv&programanmkod=91007.1011
NK002	91007.1112	Biologi med inriktning mot bioteknik - kandidatprogram	11/12 	ramschema.cfm?programkod=NK002&selLasar=1112&sprak=sv&programanmkod=91007.1112
NK002	91007.1213	Biologi med inriktning mot bioteknik - kandidatprogram	12/13 	ramschema.cfm?programkod=NK002&selLasar=1213&sprak=sv&programanmkod=91007.1213
NK002	91007.1314	Biologi med inriktning mot bioteknik - kandidatprogram	13/14 	ramschema.cfm?programkod=NK002&selLasar=1314&sprak=sv&programanmkod=91007.1314
NK002	91007.1415	Biologi med inriktning mot bioteknik - kandidatprogram	14/15 	ramschema.cfm?programkod=NK002&selLasar=1415&sprak=sv&programanmkod=91007.1415
NK002	91007.1516	Biologi med inriktning mot bioteknik - kandidatprogram	15/16 	ramschema.cfm?programkod=NK002&selLasar=1516&sprak=sv&programanmkod=91007.1516
NK002	91007.1617	Biologi med inriktning mot bioteknik - kandidatprogram	16/17 	ramschema.cfm?programkod=NK002&selLasar=1617&sprak=sv&programanmkod=91007.1617
NK002	91007.1718	Biologi med inriktning mot bioteknik - kandidatprogram	17/18 	ramschema.cfm?programkod=NK002&selLasar=1718&sprak=sv&programanmkod=91007.1718
NK003	91009.0910	Mat & Hälsa - kandidatprogram	09/10 	ramschema.cfm?programkod=NK003&selLasar=0910&sprak=sv&programanmkod=91009.0910
NK003	91009.1011	Mat & Hälsa - kandidatprogram	10/11 	ramschema.cfm?programkod=NK003&selLasar=1011&sprak=sv&programanmkod=91009.1011
NK005	91011.0910	Ekonomi - kandidatprogram	09/10 	ramschema.cfm?programkod=NK005&selLasar=0910&sprak=sv&programanmkod=91011.0910
NK005	91011.1011	Ekonomi - kandidatprogram	10/11 	ramschema.cfm?programkod=NK005&selLasar=1011&sprak=sv&programanmkod=91011.1011
NK005	91011.1112	Ekonomi - kandidatprogram	11/12 	ramschema.cfm?programkod=NK005&selLasar=1112&sprak=sv&programanmkod=91011.1112
NK005	91011.1213	Ekonomi - kandidatprogram	12/13 	ramschema.cfm?programkod=NK005&selLasar=1213&sprak=sv&programanmkod=91011.1213
NK005	91011.1314	Ekonomi - kandidatprogram	13/14 	ramschema.cfm?programkod=NK005&selLasar=1314&sprak=sv&programanmkod=91011.1314
NK005	91011.1415	Ekonomi - kandidatprogram	14/15 	ramschema.cfm?programkod=NK005&selLasar=1415&sprak=sv&programanmkod=91011.1415
NK005	91011.1516	Ekonomi - kandidatprogram	15/16 	ramschema.cfm?programkod=NK005&selLasar=1516&sprak=sv&programanmkod=91011.1516
NK005	91011.1617	Ekonomi - kandidatprogram	16/17 	ramschema.cfm?programkod=NK005&selLasar=1617&sprak=sv&programanmkod=91011.1617
NK006	91029.0910	Landsbygder i förändring - kandidatprogram	09/10 	ramschema.cfm?programkod=NK006&selLasar=0910&sprak=sv&programanmkod=91029.0910
NK007	91016.1112	Livsmedel - kandidatprogram	11/12 	ramschema.cfm?programkod=NK007&selLasar=1112&sprak=sv&programanmkod=91016.1112
NK008	91036.1415	Lantmästare - kandidatprogram	14/15 	ramschema.cfm?programkod=NK008&selLasar=1415&sprak=sv&programanmkod=91036.1415
NK008	91036.1516	Lantmästare - kandidatprogram	15/16 	ramschema.cfm?programkod=NK008&selLasar=1516&sprak=sv&programanmkod=91036.1516
NK008	91036.1617	Lantmästare - kandidatprogram	16/17 	ramschema.cfm?programkod=NK008&selLasar=1617&sprak=sv&programanmkod=91036.1617
NK008	91036.1718	Lantmästare - kandidatprogram	17/18 	ramschema.cfm?programkod=NK008&selLasar=1718&sprak=sv&programanmkod=91036.1718
NK008	91036.1819	Lantmästare - kandidatprogram	18/19 	ramschema.cfm?programkod=NK008&selLasar=1819&sprak=sv&programanmkod=91036.1819
NK010	91045.1718	Lantmästare - kandidatprogram	17/18 	ramschema.cfm?programkod=NK010&selLasar=1718&sprak=sv&programanmkod=91045.1718
NK010	91045.1819	Lantmästare - kandidatprogram	18/19 	ramschema.cfm?programkod=NK010&selLasar=1819&sprak=sv&programanmkod=91045.1819
NK010	91045.1920	Lantmästare - kandidatprogram	19/20 	ramschema.cfm?programkod=NK010&selLasar=1920&sprak=sv&programanmkod=91045.1920
NK010	91045.2021	Lantmästare - kandidatprogram	20/21 	ramschema.cfm?programkod=NK010&selLasar=2021&sprak=sv&programanmkod=91045.2021
NK010	91047.2122	Lantmästare - kandidatprogram	21/22 	ramschema.cfm?programkod=NK010&selLasar=2122&sprak=sv&programanmkod=91047.2122
NK010	91067.2223	Lantmästare - kandidatprogram	22/23 	ramschema.cfm?programkod=NK010&selLasar=2223&sprak=sv&programanmkod=91067.2223
NK011	91048.1718	Ekonomi - hållbar utveckling	17/18 	ramschema.cfm?programkod=NK011&selLasar=1718&sprak=sv&programanmkod=91048.1718
NK011	91048.1819	Ekonomi - hållbar utveckling	18/19 	ramschema.cfm?programkod=NK011&selLasar=1819&sprak=sv&programanmkod=91048.1819
NK011	91048.1920	Ekonomi - hållbar utveckling	19/20 	ramschema.cfm?programkod=NK011&selLasar=1920&sprak=sv&programanmkod=91048.1920
NK011	91048.2021	Ekonomi - hållbar utveckling	20/21 	ramschema.cfm?programkod=NK011&selLasar=2021&sprak=sv&programanmkod=91048.2021
NK011	91048.2122	Ekonomi - hållbar utveckling	21/22 	ramschema.cfm?programkod=NK011&selLasar=2122&sprak=sv&programanmkod=91048.2122
NK012	91051.2122	Politices kandidat - hållbar utveckling	21/22 	ramschema.cfm?programkod=NK012&selLasar=2122&sprak=sv&programanmkod=91051.2122
NK012	91051.2223	Politices kandidat - hållbar utveckling	22/23 	ramschema.cfm?programkod=NK012&selLasar=2223&sprak=sv&programanmkod=91051.2223
NK013	91053.2122	Agrar ekonomi	21/22 	ramschema.cfm?programkod=NK013&selLasar=2122&sprak=sv&programanmkod=91053.2122
NK013	91053.2223	Agrar ekonomi	22/23 	ramschema.cfm?programkod=NK013&selLasar=2223&sprak=sv&programanmkod=91053.2223
NK014	91054.2122	Livsmedelsprogrammet	21/22 	ramschema.cfm?programkod=NK014&selLasar=2122&sprak=sv&programanmkod=91054.2122
NK014	91054.2223	Livsmedelsprogrammet	22/23 	ramschema.cfm?programkod=NK014&selLasar=2223&sprak=sv&programanmkod=91054.2223
NK015	91055.2122	Samhällsutveckling - landsbygd	21/22 	ramschema.cfm?programkod=NK015&selLasar=2122&sprak=sv&programanmkod=91055.2122
NK015	91055.2223	Samhällsutveckling - landsbygd	22/23 	ramschema.cfm?programkod=NK015&selLasar=2223&sprak=sv&programanmkod=91055.2223
NK016	91059.2122	Växtodlingsprogrammet	21/22 	ramschema.cfm?programkod=NK016&selLasar=2122&sprak=sv&programanmkod=91059.2122
NK016	91059.2223	Växtodlingsprogrammet	22/23 	ramschema.cfm?programkod=NK016&selLasar=2223&sprak=sv&programanmkod=91059.2223
NK017	91066.2122	Ekonomi - hållbar utveckling (kandidat)	21/22 	ramschema.cfm?programkod=NK017&selLasar=2122&sprak=sv&programanmkod=91066.2122
NK017	91066.2223	Ekonomi - hållbar utveckling (kandidat)	22/23 	ramschema.cfm?programkod=NK017&selLasar=2223&sprak=sv&programanmkod=91066.2223
NM001	81011.0910	Miljöföroreningar och riskbedömning - masterprogram	09/10 	ramschema.cfm?programkod=NM001&selLasar=0910&sprak=sv&programanmkod=81011.0910
NM001	81011.1011	Miljöföroreningar och riskbedömning - masterprogram	10/11 	ramschema.cfm?programkod=NM001&selLasar=1011&sprak=sv&programanmkod=81011.1011
NM001	81011.1112	Miljöföroreningar och riskbedömning - masterprogram	11/12 	ramschema.cfm?programkod=NM001&selLasar=1112&sprak=sv&programanmkod=81011.1112
NM002	81012.0910	Agrar ekonomi och företagsledning - masterprogram	09/10 	ramschema.cfm?programkod=NM002&selLasar=0910&sprak=sv&programanmkod=81012.0910
NM002	81012.1011	Agrar ekonomi och företagsledning - masterprogram	10/11 	ramschema.cfm?programkod=NM002&selLasar=1011&sprak=sv&programanmkod=81012.1011
NM002	81012.1112	Agrar ekonomi och företagsledning - masterprogram	11/12 	ramschema.cfm?programkod=NM002&selLasar=1112&sprak=sv&programanmkod=81012.1112
NM002	81012.1213	Agrar ekonomi och företagsledning - masterprogram	12/13 	ramschema.cfm?programkod=NM002&selLasar=1213&sprak=sv&programanmkod=81012.1213
NM002	81012.1314	Agrar ekonomi och företagsledning - masterprogram	13/14 	ramschema.cfm?programkod=NM002&selLasar=1314&sprak=sv&programanmkod=81012.1314
NM002	81012.1415	Agrar ekonomi och företagsledning - masterprogram	14/15 	ramschema.cfm?programkod=NM002&selLasar=1415&sprak=sv&programanmkod=81012.1415
NM002	81012.1516	Agrar ekonomi och företagsledning - masterprogram	15/16 	ramschema.cfm?programkod=NM002&selLasar=1516&sprak=sv&programanmkod=81012.1516
NM002	81012.1617	Agrar ekonomi och företagsledning - masterprogram	16/17 	ramschema.cfm?programkod=NM002&selLasar=1617&sprak=sv&programanmkod=81012.1617
NM002	81012.1718	Agrar ekonomi och företagsledning - masterprogram	17/18 	ramschema.cfm?programkod=NM002&selLasar=1718&sprak=sv&programanmkod=81012.1718
NM002	81012.1819	Agrar ekonomi och företagsledning - masterprogram	18/19 	ramschema.cfm?programkod=NM002&selLasar=1819&sprak=sv&programanmkod=81012.1819
NM003	81013.0910	Bioteknologi - masterprogram	09/10 	ramschema.cfm?programkod=NM003&selLasar=0910&sprak=sv&programanmkod=81013.0910
NM003	81013.1011	Bioteknologi - masterprogram	10/11 	ramschema.cfm?programkod=NM003&selLasar=1011&sprak=sv&programanmkod=81013.1011
NM003	81013.1112	Bioteknologi - masterprogram	11/12 	ramschema.cfm?programkod=NM003&selLasar=1112&sprak=sv&programanmkod=81013.1112
NM004	81014.0910	Ekologi - masterprogram	09/10 	ramschema.cfm?programkod=NM004&selLasar=0910&sprak=sv&programanmkod=81014.0910
NM004	81014.1011	Ekologi - masterprogram	10/11 	ramschema.cfm?programkod=NM004&selLasar=1011&sprak=sv&programanmkod=81014.1011
NM004	81014.1112	Ekologi - masterprogram	11/12 	ramschema.cfm?programkod=NM004&selLasar=1112&sprak=sv&programanmkod=81014.1112
NM005	81016.0910	Miljöekonomi  och företagsledning - masterprogram	09/10 	ramschema.cfm?programkod=NM005&selLasar=0910&sprak=sv&programanmkod=81016.0910
NM005	81016.1011	Miljöekonomi  och företagsledning - masterprogram	10/11 	ramschema.cfm?programkod=NM005&selLasar=1011&sprak=sv&programanmkod=81016.1011
NM005	81016.1112	Miljöekonomi  och företagsledning - masterprogram	11/12 	ramschema.cfm?programkod=NM005&selLasar=1112&sprak=sv&programanmkod=81016.1112
NM005	81016.1213	Miljöekonomi  och företagsledning - masterprogram	12/13 	ramschema.cfm?programkod=NM005&selLasar=1213&sprak=sv&programanmkod=81016.1213
NM005	81016.1314	Miljöekonomi  och företagsledning - masterprogram	13/14 	ramschema.cfm?programkod=NM005&selLasar=1314&sprak=sv&programanmkod=81016.1314
NM005	81016.1415	Miljöekonomi  och företagsledning - masterprogram	14/15 	ramschema.cfm?programkod=NM005&selLasar=1415&sprak=sv&programanmkod=81016.1415
NM005	81016.1516	Miljöekonomi  och företagsledning - masterprogram	15/16 	ramschema.cfm?programkod=NM005&selLasar=1516&sprak=sv&programanmkod=81016.1516
NM005	81016.1617	Miljöekonomi  och företagsledning - masterprogram	16/17 	ramschema.cfm?programkod=NM005&selLasar=1617&sprak=sv&programanmkod=81016.1617
NM005	81016.1718	Miljöekonomi  och företagsledning - masterprogram	17/18 	ramschema.cfm?programkod=NM005&selLasar=1718&sprak=sv&programanmkod=81016.1718
NM005	81016.1819	Miljöekonomi  och företagsledning - masterprogram	18/19 	ramschema.cfm?programkod=NM005&selLasar=1819&sprak=sv&programanmkod=81016.1819
NM005	81030.1920	Miljöekonomi  och företagsledning - masterprogram	19/20 	ramschema.cfm?programkod=NM005&selLasar=1920&sprak=sv&programanmkod=81030.1920
NM005	81030.2021	Miljöekonomi  och företagsledning - masterprogram	20/21 	ramschema.cfm?programkod=NM005&selLasar=2021&sprak=sv&programanmkod=81030.2021
NM005	81030.2122	Miljöekonomi  och företagsledning - masterprogram	21/22 	ramschema.cfm?programkod=NM005&selLasar=2122&sprak=sv&programanmkod=81030.2122
NM005	81030.2223	Miljöekonomi  och företagsledning - masterprogram	22/23 	ramschema.cfm?programkod=NM005&selLasar=2223&sprak=sv&programanmkod=81030.2223
NM006	81018.0910	Hållbar vattenförvaltning - masterprogram	09/10 	ramschema.cfm?programkod=NM006&selLasar=0910&sprak=sv&programanmkod=81018.0910
NM008	M0001.0910	Växtbiologi - masterprogram PLBI	09/10 	ramschema.cfm?programkod=NM008&selLasar=0910&sprak=sv&programanmkod=M0001.0910
NM008	M0002.0910	Växtbiologi - masterprogram PLPA	09/10 	ramschema.cfm?programkod=NM008&selLasar=0910&sprak=sv&programanmkod=M0002.0910
NM008	M0001.1011	Växtbiologi - masterprogram PLBI	10/11 	ramschema.cfm?programkod=NM008&selLasar=1011&sprak=sv&programanmkod=M0001.1011
