Programkod	Programanmkod	Program	Läsår	Läsår_link0
VY002	91013.1718	Veterinärprogrammet	17/18 	ramschema.cfm?programkod=VY002&selLasar=1718&sprak=sv&programanmkod=91013.1718
VY002	91013.1819	Veterinärprogrammet	18/19 	ramschema.cfm?programkod=VY002&selLasar=1819&sprak=sv&programanmkod=91013.1819
VY002	91013.1920	Veterinärprogrammet	19/20 	ramschema.cfm?programkod=VY002&selLasar=1920&sprak=sv&programanmkod=91013.1920
VY002	91013.2021	Veterinärprogrammet	20/21 	ramschema.cfm?programkod=VY002&selLasar=2021&sprak=sv&programanmkod=91013.2021
VY002	91013.2122	Veterinärprogrammet	21/22 	ramschema.cfm?programkod=VY002&selLasar=2122&sprak=sv&programanmkod=91013.2122
VY004	91015.0910	Hipplogprogrammet - travsport	09/10 	ramschema.cfm?programkod=VY004&selLasar=0910&sprak=sv&programanmkod=91015.0910
VY006	91017.0910	Hipplogprogrammet - ridlärare	09/10 	ramschema.cfm?programkod=VY006&selLasar=0910&sprak=sv&programanmkod=91017.0910
VY007	91018.0910	Hipplogprogrammet - stallchef	09/10 	ramschema.cfm?programkod=VY007&selLasar=0910&sprak=sv&programanmkod=91018.0910
VY008	91040.1617	Agronomprogrammet - husdjur	16/17 	ramschema.cfm?programkod=VY008&selLasar=1617&sprak=sv&programanmkod=91040.1617
VY008	91040.1718	Agronomprogrammet - husdjur	17/18 	ramschema.cfm?programkod=VY008&selLasar=1718&sprak=sv&programanmkod=91040.1718
VY008	91040.1819	Agronomprogrammet - husdjur	18/19 	ramschema.cfm?programkod=VY008&selLasar=1819&sprak=sv&programanmkod=91040.1819
VY008	91040.1920	Agronomprogrammet - husdjur	19/20 	ramschema.cfm?programkod=VY008&selLasar=1920&sprak=sv&programanmkod=91040.1920
VY008	91040.2021	Agronomprogrammet - husdjur	20/21 	ramschema.cfm?programkod=VY008&selLasar=2021&sprak=sv&programanmkod=91040.2021
VY008	91040.2122	Agronomprogrammet - husdjur	21/22 	ramschema.cfm?programkod=VY008&selLasar=2122&sprak=sv&programanmkod=91040.2122
VY008	91040.2223	Agronomprogrammet - husdjur	22/23 	ramschema.cfm?programkod=VY008&selLasar=2223&sprak=sv&programanmkod=91040.2223
VY009	91049.1718	Veterinärprogrammet	17/18 	ramschema.cfm?programkod=VY009&selLasar=1718&sprak=sv&programanmkod=91049.1718
VY009	91049.1819	Veterinärprogrammet	18/19 	ramschema.cfm?programkod=VY009&selLasar=1819&sprak=sv&programanmkod=91049.1819
VY009	91049.1920	Veterinärprogrammet	19/20 	ramschema.cfm?programkod=VY009&selLasar=1920&sprak=sv&programanmkod=91049.1920
VY009	91049.2021	Veterinärprogrammet	20/21 	ramschema.cfm?programkod=VY009&selLasar=2021&sprak=sv&programanmkod=91049.2021
VY009	91049.2122	Veterinärprogrammet	21/22 	ramschema.cfm?programkod=VY009&selLasar=2122&sprak=sv&programanmkod=91049.2122
VY009	91049.2223	Veterinärprogrammet	22/23 	ramschema.cfm?programkod=VY009&selLasar=2223&sprak=sv&programanmkod=91049.2223
VY010	91001.1819	Djursjukskötarprogrammet	18/19 	ramschema.cfm?programkod=VY010&selLasar=1819&sprak=sv&programanmkod=91001.1819
VY010	91050.1920	Djursjukskötarprogrammet	19/20 	ramschema.cfm?programkod=VY010&selLasar=1920&sprak=sv&programanmkod=91050.1920
VY010	91050.2021	Djursjukskötarprogrammet	20/21 	ramschema.cfm?programkod=VY010&selLasar=2021&sprak=sv&programanmkod=91050.2021
VY010	91050.2122	Djursjukskötarprogrammet	21/22 	ramschema.cfm?programkod=VY010&selLasar=2122&sprak=sv&programanmkod=91050.2122
VY010	91050.2223	Djursjukskötarprogrammet	22/23 	ramschema.cfm?programkod=VY010&selLasar=2223&sprak=sv&programanmkod=91050.2223
VY011	91061.2122	Hippologprogrammet RIDH	21/22 	ramschema.cfm?programkod=VY011&selLasar=2122&sprak=sv&programanmkod=91061.2122
VY011	91062.2122	Hippologprogrammet ISLA	21/22 	ramschema.cfm?programkod=VY011&selLasar=2122&sprak=sv&programanmkod=91062.2122
VY011	91063.2122	Hippologprogrammet TRAV	21/22 	ramschema.cfm?programkod=VY011&selLasar=2122&sprak=sv&programanmkod=91063.2122
VY011	91061.2223	Hippologprogrammet RIDH	22/23 	ramschema.cfm?programkod=VY011&selLasar=2223&sprak=sv&programanmkod=91061.2223
VY011	91062.2223	Hippologprogrammet ISLA	22/23 	ramschema.cfm?programkod=VY011&selLasar=2223&sprak=sv&programanmkod=91062.2223
VY011	91063.2223	Hippologprogrammet TRAV	22/23 	ramschema.cfm?programkod=VY011&selLasar=2223&sprak=sv&programanmkod=91063.2223
