Nr	Kurskod	Version	Kursplan sve	Kursplan sve_link0	Kursplan eng	Kursplan eng_link0	Json	Json_link0
18	BI0046	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0046&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0046&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0046&ver=1&sprak=sv
19	BI0049	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0049&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0049&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0049&ver=1&sprak=sv
20	BI0050	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0050&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0050&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0050&ver=1&sprak=sv
21	BI0059	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0059&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0059&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0059&ver=1&sprak=sv
22	BI0061	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0061&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0061&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0061&ver=1&sprak=sv
23	BI0066	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0066&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0066&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0066&ver=1&sprak=sv
24	BI0068	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0068&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0068&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0068&ver=1&sprak=sv
25	BI0073	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0073&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0073&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0073&ver=1&sprak=sv
26	BI0080	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0080&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0080&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0080&ver=1&sprak=sv
27	BI0082	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0082&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0082&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0082&ver=1&sprak=sv
28	BI0083	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0083&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0083&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0083&ver=1&sprak=sv
29	BI0085	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0085&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0085&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0085&ver=1&sprak=sv
30	BI0089	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0089&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0089&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0089&ver=1&sprak=sv
