enhet	anmkod	Kurskod	Benamning	Enhetsnamn
999	10371.1112	LU0072	testa	Testavdelningen
999	10372.1112	LU0072	testa	Testavdelningen
999	50051.1011	LU0072	testa	Testavdelningen
991	20158.1617	UU0084	Kommunikationens grunder  (uppdragsutbildning)	Ortskansliet i Skara
991	20164.1516	UU0084	Kommunikationens grunder  (uppdragsutbildning)	Ortskansliet i Skara
991	50046.1516	UU0087	Lean – ständig förbättring för lantbruks-, landsbygds- och trädgårdsföretag  (uppdragsutbildning)	Ortskansliet i Skara
991	10303.1718	UU0094	Coachning för rådgivare inom naturresursområdet  (uppdragsutbildning)	Ortskansliet i Skara
991	30304.1617	UU0088	Processledning för hållbar naturresurshantering (uppdragsutbildning)	Ortskansliet i Skara
988	19882.0001	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	19882.0102	EN9004	Engelska med naturvetenskaplig inriktning	Internationella byrån
988	19883.0001	EN9001	Engelska med inriktning på jordbruk, trädgård och landskap	Internationella byrån
988	19881.0001	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	19881.0102	EN9001	Engelska med inriktning på jordbruk, trädgård och landskap	Internationella byrån
988	10801.9900	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	10802.9900	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	39881.0001	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	39881.0102	EN9004	Engelska med naturvetenskaplig inriktning	Internationella byrån
988	39882.0001	SP9002	Språkfärdighetskurs i spanska med naturvetenskaplig inriktning	Internationella byrån
988	39882.0102	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	30801.9900	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	30802.9900	SP9002	Språkfärdighetskurs i spanska med naturvetenskaplig inriktning	Internationella byrån
987	19871.0001	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19871.0102	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19871.0203	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0001	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0102	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0203	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19873.0001	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	19873.0102	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	19873.0203	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	10701.9900	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	10702.9900	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	10704.9900	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	30702.9900	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
979	P0047.1415	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P9807.0203	POG0017	Forskningsetik	Planeringsavdelningen
979	P9807.0304	POG0018	Forskningsetik med inriktning mot naturvetenskap	Planeringsavdelningen
979	P9808.0304	POG0035	Miljöetik	Planeringsavdelningen
979	P0060.1112	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0055.1415	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P9809.0203	POG0035	Miljöetik	Planeringsavdelningen
979	P0024.2021	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0056.2122	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0046.1617	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0086.1819	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0095.1819	POG0059	Högskolepedagogik, grundkurs	Planeringsavdelningen
979	P0022.1920	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0018.1617	POG0072	Tvärvetenskapliga perspektiv	Planeringsavdelningen
979	P0107.2021	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0018.2122	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0085.2021	POG0087	Hållbarhet i en globaliserad värld	Planeringsavdelningen
979	P0106.2021	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0018.1819	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0052.1314	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0055.1213	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0014.1213	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0001.1819	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0016.1314	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0060.1213	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0057.1213	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0031.1920	POG0079	Tvärvetenskapliga perspektiv	Planeringsavdelningen
979	P0018.1718	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0058.1213	POG0064	Att kommunicera forskning	Planeringsavdelningen
979	P0048.1617	POG0073	Tvärvetenskapliga perspektiv, webbaserad	Planeringsavdelningen
979	P0012.1718	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0035.1718	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0028.1516	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0001.1415	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0047.1314	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0046.1314	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0050.1314	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0045.1314	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0076.1314	POG0066	Träning av generella färdigheter för framgångsrika doktorander - globala och lokal perspektiv	Planeringsavdelningen
979	P0010.1516	POG0067	Vetenskapens praktik och villkor	Planeringsavdelningen
979	P0028.1617	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0045.1617	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0008.1617	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0024.1617	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0085.1819	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0009.1415	POG0067	Vetenskapens praktik och villkor	Planeringsavdelningen
979	P0015.1415	POG0064	Att kommunicera forskning	Planeringsavdelningen
979	P0011.1516	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0008.1516	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0018.1415	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0059.2021	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0075.2021	POG0086	Att kommunicera forskning	Planeringsavdelningen
979	P0013.2223	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0007.2122	POG0087	Hållbarhet i en globaliserad värld	Planeringsavdelningen
979	P0035.1415	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0038.1415	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0036.1415	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0037.1415	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0030.2021	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0093.1819	POG0082	Att kommunicera kunskap	Planeringsavdelningen
979	P0031.2021	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0003.2223	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0042.1920	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0004.1819	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0052.1920	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0078.2122	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0050.2122	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0015.1213	POG0061	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0013.1213	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P9801.0304	POG0023	Informationssystem, Umeå	Planeringsavdelningen
979	P9801.0405	POG0010	Vetenskaplig publicering, Umeå	Planeringsavdelningen
979	P9802.0203	POG0022	Informationssystem, Alnarp	Planeringsavdelningen
979	P9802.0304	POG0006	Att kommunicera kunskap	Planeringsavdelningen
979	P9803.0304	POG0025	Introduktion till forskarutbildningen	Planeringsavdelningen
979	P9804.0304	POG0027	Introduktion till forskarutbildningen, Umeå	Planeringsavdelningen
979	P9805.0304	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P9806.0203	POG0019	Forskningsetik med inriktning mot samhällsvetenskap	Planeringsavdelningen
979	P9806.0304	POG0019	Forskningsetik med inriktning mot samhällsvetenskap	Planeringsavdelningen
979	P9809.0304	POG0011	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P9810.0203	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P9810.0304	POG0013	Att överleva som forskare/Hur får jag forskningsmedel?	Planeringsavdelningen
979	P9811.0203	POG0042	Spektrometri i biologisk och kemisk forskning	Planeringsavdelningen
979	P9811.0304	POG0039	Pedagogisk grundkurs	Planeringsavdelningen
979	P9812.0304	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P9813.0304	POG0017	Forskningsetik	Planeringsavdelningen
979	P9814.0304	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P9815.0203	POG0007	Att presentera forskningsresultat, för dina kollegor	Planeringsavdelningen
979	P9815.0304	POG0052	Att skriva och publicera vetenskapliga uppsatser, utvidgad	Planeringsavdelningen
979	P9816.0203	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P9817.0203	POG0015	Biomedicinsk etik	Planeringsavdelningen
979	P9818.0203	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P9819.0203	POG0024	Informationssystem, Uppsala	Planeringsavdelningen
979	P9820.0203	POG0025	Introduktion till forskarutbildningen	Planeringsavdelningen
979	P9821.0203	POG0026	Introduktion till forskarutbildningen, Alnarp	Planeringsavdelningen
979	P9822.0203	POG0027	Introduktion till forskarutbildningen, Umeå	Planeringsavdelningen
979	P9823.0203	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P9824.0203	POG0036	Modern vetenskaplig metodik	Planeringsavdelningen
979	P9825.0203	POG0039	Pedagogisk grundkurs	Planeringsavdelningen
979	P9826.0203	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P9829.0203	POG0010	Vetenskaplig publicering, Umeå	Planeringsavdelningen
979	P9833.0203	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P9834.0203	POG0034	Mentorsprogram	Planeringsavdelningen
979	P9835.0203	POG0023	Informationssystem, Umeå	Planeringsavdelningen
979	P9836.0203	POG0052	Att skriva och publicera vetenskapliga uppsatser, utvidgad	Planeringsavdelningen
979	P9837.0203	POG0052	Att skriva och publicera vetenskapliga uppsatser, utvidgad	Planeringsavdelningen
979	P0045.0708	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0013.1314	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0009.1516	POG0064	Att kommunicera forskning	Planeringsavdelningen
979	P0049.1011	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0051.0607	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0055.0809	POG0023	Informationssystem, Umeå	Planeringsavdelningen
979	P0032.0405	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P0032.0809	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0032.1011	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0033.0405	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P0035.1011	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0037.0405	POG0010	Vetenskaplig publicering, Umeå	Planeringsavdelningen
979	P0041.1112	POG0061	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0042.1112	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0043.0506	POG0034	Mentorsprogram	Planeringsavdelningen
979	P0043.0607	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P0043.1112	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0044.0607	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0047.0708	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P0022.1011	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0023.0506	POG0024	Informationssystem, Uppsala	Planeringsavdelningen
979	P0023.0708	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0023.1011	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0024.1011	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0024.1112	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0027.0506	POG0007	Att presentera forskningsresultat, för dina kollegor	Planeringsavdelningen
979	P0029.0809	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P0030.0506	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P0030.0809	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0031.0506	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P0031.0809	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0010.0405	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0011.0405	POG0007	Att presentera forskningsresultat, för dina kollegor	Planeringsavdelningen
979	P0012.0405	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0013.0506	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0016.0506	POG0025	Introduktion till forskarutbildningen	Planeringsavdelningen
979	P0016.0607	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0016.0910	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P0017.0607	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P0017.0910	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0018.0607	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0020.0910	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0021.0708	POG0029	Kvalitetssäkring vid experimentell verksamhet	Planeringsavdelningen
979	P0022.0506	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0001.0809	POG0030	Ledning, organisation och arbetsliv	Planeringsavdelningen
979	P0001.1011	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0001.1213	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0002.0506	POG0040	Projektledning för doktorander	Planeringsavdelningen
979	P0002.0809	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P0002.1112	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0003.0809	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0005.1112	POG0060	Vetenskapens praktik och villkor	Planeringsavdelningen
979	P0006.0506	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P0006.1112	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0007.0910	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0008.0405	POG0012	Att skriva vetenskapligt på engelska	Planeringsavdelningen
979	P0009.0405	POG0017	Forskningsetik	Planeringsavdelningen
979	P0031.1314	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0061.1112	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0055.1112	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0056.1213	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0051.1920	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0005.2223	POG0086	Att kommunicera forskning	Planeringsavdelningen
979	P0052.1516	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0050.1516	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0003.2021	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0039.1718	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0053.1617	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0051.1819	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0010.1920	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0020.1819	POG0079	Tvärvetenskapliga perspektiv	Planeringsavdelningen
979	P0059.1920	POG0084	Att kommunicera forskning	Planeringsavdelningen
979	#2731.1617	POG0084	Att kommunicera forskning	Planeringsavdelningen
979	P0058.1920	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0040.1819	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0044.1920	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0046.1920	POG0083	Tvärvetenskapliga perspektiv, webbaserad	Planeringsavdelningen
979	P0094.1819	POG0059	Högskolepedagogik, grundkurs	Planeringsavdelningen
977	P0096.2122	POG0091	Education for sustainable development: Teaching for sustainability	Ledningskansliet
977	P0011.2223	POG0089	Agenda 2030: Synergies, conflicts, and assessment tools	Ledningskansliet
977	P0097.2122	POG0092	Working and communicating across cultures	Ledningskansliet
977	P0012.2223	POG0090	Designing research with impact using the Theory of Change approach	Ledningskansliet
977	P0032.2021	POG0085	Hållbarhet i en globaliserad värld – verktyg och koncept	Ledningskansliet
924	29241.9900	ÖÄ0185	Ekologiskt lantbruk enligt EUs definition, introduktionskurs	Centrum för uthålligt lantbruk
922	P0008.0506	PVS0017	Reproduction and Epigenetics	Centrum för reproduktionsbiologi
910	29101.0102	BI9016	Praktiska tillämpningar	Centrum för biologisk mångfald
910	29101.0203	BI9027	Projektarbete, 2a året	Centrum för biologisk mångfald
910	29102.0102	BI9018	Ekologisk ekonomi, lagar & styrmedel	Centrum för biologisk mångfald
910	29103.0102	BI9019	Att mäta biodiversitet	Centrum för biologisk mångfald
910	20159.0708	UU0037	Processes that generate, maintain and threaten biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	20144.0506	UU0017	Access, benefit sharing & intellectual property rights (uppdragsutbildning)	Centrum för biologisk mångfald
910	19101.0102	BI9014	Tropisk biologi	Centrum för biologisk mångfald
910	19101.0203	BI9023	Biodiversitet och samhälle: en syntes	Centrum för biologisk mångfald
910	19102.0102	BI9015	Människa-biodiversitet samspel	Centrum för biologisk mångfald
910	19102.0203	BI9025	Forskningsplanering	Centrum för biologisk mångfald
910	19103.0203	BI9028	Tropisk biodiversitet	Centrum för biologisk mångfald
910	19104.0203	IK9002	Att kommunicera biodiversitet II	Centrum för biologisk mångfald
910	10354.0809	UU0054	Field work (uppdragsutbildning)	Centrum för biologisk mångfald
910	10355.0809	UU0055	Topics in applied biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	10312.0708	UU0031	Identification and assessment of biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	10322.0708	UU0038	Scientific writing, research design and methods (uppdragsutbildning)	Centrum för biologisk mångfald
910	10236.0506	UU0022	Processes that generate, maintain & threaten biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	10234.0506	UU0019	Identification and assessment of biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	10235.0506	UU0020	Introduktion (uppdragsutbildning)	Centrum för biologisk mångfald
910	P0017.0405	PNS0007	Politiska styrmedel för biologisk mångfald i skogs- och jo	Centrum för biologisk mångfald
910	59101.0102	BI9021	Projektarbete, 2a året	Centrum för biologisk mångfald
910	49101.0102	BI9017	Hållbart nyttjande av den brukade mångfalden	Centrum för biologisk mångfald
910	49102.0102	ST9000	Statistik och experimentuppläggning	Centrum för biologisk mångfald
910	49103.0102	ÖÄ9003	Att kommunicera biodiversitet	Centrum för biologisk mångfald
910	40166.0708	UU0034	Conservation & sustainable use of biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
910	39101.0102	BI9020	Systematik, populationsbiologi och landskapsekologi	Centrum för biologisk mångfald
910	30323.0809	UU0056	Master thesis (uppdragsutbildning)	Centrum för biologisk mångfald
910	30272.0708	UU0036	Rights, access, and sharing of benefits (uppdragsutbildning)	Centrum för biologisk mångfald
910	30191.0506	UU0018	Conservation and sustainable use of biological diversity (uppdragsutbildning)	Centrum för biologisk mångfald
896	P0076.1112	PLG0022	Vetenskapsetik	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0065.1112	PLG0035	Växtskyddsbiologi	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0004.1213	PLG0036	Field-omics - analysis of -omics data in field trials and controlled environments	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0073.1415	PLS0039	GCUA Green and Sustainable Cities	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0059.1112	PLG0033	Treatment of Data	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0084.1112	PLG0040	Course 12912 Biorefinery, technologies and applications	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0049.1213	PLG0037	Analytical Methods in Chemical Ecology	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0017.1415	PLS0035	Integrerat växtskydd och tryggad livsmedelsförsörjning i tropiskt klimat	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0063.1718	PLG0035	Växtskyddsbiologi	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0067.1112	PLG0037	Analytical Methods in Chemical Ecology	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0080.1314	PLS0037	Bortom de goda exemplen: Att ifrågasätta tankevanor för en hållbar utveckling i Öresunds stadsnära landskap.	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0071.1516	PLS0041	Designkritik inom landskapsarkitektur - för en europeisk förståelse	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0051.1314	PLG0022	Vetenskapsetik	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0059.1516	PLS0040	Hur vi kan dra nytta av evolutionsbiologi i jordbruks- och trädgårdsvetenskap	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0078.1314	PLS0034	Modern forskning inom urbant skogsbruk	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0004.1617	PLG0035	Växtskyddsbiologi	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0022.1415	PLS0036	Metoder och modeller för växtgenomiska prognoser och urval inom växtförädling	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0067.1314	PLS0033	Relationella teorier i landskapsstudier och urbana studier	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0030.1415	PLG0043	Treatment of data - qualitative material	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0068.0910	PLG0023	How to write and publish a scientific paper	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P6001.0304	PAS0020	Biofiberteknologi med inriktning mot växtfiber	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P6101.0304	PAS0027	Landskap, Representation, Förtolkning och Praxis	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P6102.0304	PAS0028	Landskap, Representation, Förtolkning och Praxis	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P9831.0203	POS0004	Mikroskopet gör fysiologiska händelser synbara!	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0044.1011	PLS0025	Urban dendrology	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0052.0607	PLG0005	POPULÄRVETENSKAPLIG SKRIVNING	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0053.0607	PLS0011	Sensys and periurban seminars	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0054.0910	PLG0021	Methods in microbial horticulture	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0057.0910	PLS0018	Neurobiology of Insects	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0059.0809	PLG0014	Intervjuteknik	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0060.0910	PLG0022	Vetenskapsetik	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0061.0910	PLS0019	Landscape Theory in Architectural and Planning Practice	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0062.0708	PLG0011	Vetenskapsetik	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0062.0910	PLS0020	Forest Understory Vegetation: Ecosystem functions, succession and dynamics	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0063.0809	PLG0016	Consumer Research - perspectives, theories and application	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0035.0809	PLS0015	Neurobiology of Insects	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0035.1112	PLG0031	Specific Methodology Overview	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0036.0809	PLS0007	Analysmetoder - möjligheter och utmaningar	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0036.0910	PLG0017	Forskningsdesign för doktorander	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0036.1011	PLG0027	Treatment of Data	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
896	P0037.0607	PLS0008	Sensorik, kvalitet och sundhet	Fakulteten för landskapsarkitektur, trädgård- och växtproduktionsvetenskap
