Programkod	Version	Giltig fr.o.m.	Program sve	Program sve_link0	Program eng	Program eng_link0
SY001	2	ht 2010	Jägmästarprogrammet	utbildningsplan.cfm?programkod=SY001&ver=2&sprak=sv	Forest Science - Master´s Programme	utbildningsplan.cfm?programkod=SY001&ver=2&sprak=en
SY001	4	ht 2016	Jägmästarprogrammet	utbildningsplan.cfm?programkod=SY001&ver=4&sprak=sv	Forest Science - Master´s Programme	utbildningsplan.cfm?programkod=SY001&ver=4&sprak=en
SY001	5	ht 2017	Jägmästarprogrammet	utbildningsplan.cfm?programkod=SY001&ver=5&sprak=sv	Forest Science - Master´s Programme	utbildningsplan.cfm?programkod=SY001&ver=5&sprak=en
SY001	6	ht 2018	Jägmästarprogrammet	utbildningsplan.cfm?programkod=SY001&ver=6&sprak=sv	Forest Science - Master´s Programme	utbildningsplan.cfm?programkod=SY001&ver=6&sprak=en
SY002	2	ht 2012	Skogsmästarprogrammet	utbildningsplan.cfm?programkod=SY002&ver=2&sprak=sv	Forest Management - Bachelor´s Programme	utbildningsplan.cfm?programkod=SY002&ver=2&sprak=en
SY002	3	ht 2016	Skogsmästarprogrammet	utbildningsplan.cfm?programkod=SY002&ver=3&sprak=sv	Forest Management - Bachelor´s Programme	utbildningsplan.cfm?programkod=SY002&ver=3&sprak=en
TU001	1	ht 2015	Tilläggsutbildning för veterinärer med examen från land utanför EU/EES och Schweiz	utbildningsplan.cfm?programkod=TU001&ver=1&sprak=sv	Suppl. education for veterinarians with degrees from countries outside the EU/EEA and Switzerland	utbildningsplan.cfm?programkod=TU001&ver=1&sprak=en
TU001	2	ht 2017	Tilläggsutbildning för veterinärer med examen från land utanför EU/EES och Schweiz	utbildningsplan.cfm?programkod=TU001&ver=2&sprak=sv	Suppl. education for veterinarians with degrees from countries outside the EU/EEA and Switzerland	utbildningsplan.cfm?programkod=TU001&ver=2&sprak=en
VK001	1	ht 2010	Husdjursvetenskap - kandidatprogram	utbildningsplan.cfm?programkod=VK001&ver=1&sprak=sv	Animal Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=VK001&ver=1&sprak=en
VK001	2	ht 2012	Husdjursvetenskap - kandidatprogram	utbildningsplan.cfm?programkod=VK001&ver=2&sprak=sv	Animal Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=VK001&ver=2&sprak=en
VK002	1	ht 2005	Etologi och djurskydd - kandidatprogram	utbildningsplan.cfm?programkod=VK002&ver=1&sprak=sv	Ethology and Animal Welfare - Bachelor´s Programme	utbildningsplan.cfm?programkod=VK002&ver=1&sprak=en
VK002	2	ht 2012	Etologi och djurskydd - kandidatprogram	utbildningsplan.cfm?programkod=VK002&ver=2&sprak=sv	Ethology and Animal Welfare - Bachelor´s Programme	utbildningsplan.cfm?programkod=VK002&ver=2&sprak=en
VK003	1	ht 2009	Djursjukskötare - kandidatprogram	utbildningsplan.cfm?programkod=VK003&ver=1&sprak=sv	Veterinary Nursing - Bachelor´s programme	utbildningsplan.cfm?programkod=VK003&ver=1&sprak=en
VK003	2	ht 2012	Djursjukskötare - kandidatprogram	utbildningsplan.cfm?programkod=VK003&ver=2&sprak=sv	Veterinary Nursing - Bachelor´s programme	utbildningsplan.cfm?programkod=VK003&ver=2&sprak=en
VK004	1	ht 2010	Hippolog - kandidatprogram	utbildningsplan.cfm?programkod=VK004&ver=1&sprak=sv	Equine Science – Bachelor’s Programme	utbildningsplan.cfm?programkod=VK004&ver=1&sprak=en
VK004	2	ht 2012	Hippolog - kandidatprogram	utbildningsplan.cfm?programkod=VK004&ver=2&sprak=sv	Equine Science – Bachelor’s Programme	utbildningsplan.cfm?programkod=VK004&ver=2&sprak=en
VK004	3	ht 2013	Hippolog - kandidatprogram	utbildningsplan.cfm?programkod=VK004&ver=3&sprak=sv	Equine Science – Bachelor’s Programme	utbildningsplan.cfm?programkod=VK004&ver=3&sprak=en
VK005	1	ht 2016	Etologi och djurskydd - kandidatprogram	utbildningsplan.cfm?programkod=VK005&ver=1&sprak=sv	Ethology and Animal Welfare - Bachelor´s programme	utbildningsplan.cfm?programkod=VK005&ver=1&sprak=en
VK005	2	ht 2018	Etologi och djurskydd - kandidatprogram	utbildningsplan.cfm?programkod=VK005&ver=2&sprak=sv	Ethology and Animal Welfare - Bachelor´s programme	utbildningsplan.cfm?programkod=VK005&ver=2&sprak=en
VK006	1	ht 2016	Sport- och sällskapsdjur - kandidatprogram	utbildningsplan.cfm?programkod=VK006&ver=1&sprak=sv	Companion and Sports Animals - Bachelor´s programme	utbildningsplan.cfm?programkod=VK006&ver=1&sprak=en
VK006	2	ht 2018	Sport- och sällskapsdjur - kandidatprogram	utbildningsplan.cfm?programkod=VK006&ver=2&sprak=sv	Companion and Sports Animals - Bachelor´s programme	utbildningsplan.cfm?programkod=VK006&ver=2&sprak=en
VK006	3	ht 2019	Sport- och sällskapsdjur - kandidatprogram	utbildningsplan.cfm?programkod=VK006&ver=3&sprak=sv	Companion and Sports Animals - Bachelor´s programme	utbildningsplan.cfm?programkod=VK006&ver=3&sprak=en
VK007	1	ht 2021	Etologi och djurskydd (kandidat)	utbildningsplan.cfm?programkod=VK007&ver=1&sprak=sv	Ethology and Animal Welfare (BSc)	utbildningsplan.cfm?programkod=VK007&ver=1&sprak=en
VK007	2	ht 2022	Etologi och djurskydd (kandidat)	utbildningsplan.cfm?programkod=VK007&ver=2&sprak=sv	Ethology and Animal Welfare (BSc)	utbildningsplan.cfm?programkod=VK007&ver=2&sprak=en
VK008	1	ht 2021	Djur och hållbarhet (kandidat)	utbildningsplan.cfm?programkod=VK008&ver=1&sprak=sv	Animal Science and Sustainability (BSc)	utbildningsplan.cfm?programkod=VK008&ver=1&sprak=en
VK008	2	ht 2022	Djur och hållbarhet (kandidat)	utbildningsplan.cfm?programkod=VK008&ver=2&sprak=sv	Animal Science and Sustainability (BSc)	utbildningsplan.cfm?programkod=VK008&ver=2&sprak=en
VM003	1	ht 2010	Husdjursvetenskap - masterprogram	utbildningsplan.cfm?programkod=VM003&ver=1&sprak=sv	Animal Science - Master´s Programme	utbildningsplan.cfm?programkod=VM003&ver=1&sprak=en
VM003	4	ht 2012	Husdjursvetenskap - masterprogram	utbildningsplan.cfm?programkod=VM003&ver=4&sprak=sv	Animal Science - Master´s Programme	utbildningsplan.cfm?programkod=VM003&ver=4&sprak=en
VM006	1	ht 2016	Husdjursvetenskap - masterprogram	utbildningsplan.cfm?programkod=VM006&ver=1&sprak=sv	Animal Science - Master´s Programme	utbildningsplan.cfm?programkod=VM006&ver=1&sprak=en
VM006	2	ht 2021	Husdjursvetenskap - masterprogram	utbildningsplan.cfm?programkod=VM006&ver=2&sprak=sv	Animal Science - Master´s Programme	utbildningsplan.cfm?programkod=VM006&ver=2&sprak=en
VM006	3	ht 2022	Husdjursvetenskap - masterprogram	utbildningsplan.cfm?programkod=VM006&ver=3&sprak=sv	Animal Science - Master´s Programme	utbildningsplan.cfm?programkod=VM006&ver=3&sprak=en
VM007	1	ht 2022	Masterprogrammet Djuromvårdnad	utbildningsplan.cfm?programkod=VM007&ver=1&sprak=sv	Master’s programme Veterinary Nursing	utbildningsplan.cfm?programkod=VM007&ver=1&sprak=en
VY001	1	ht 2010	Agronomprogrammet - husdjur (270 hp)	utbildningsplan.cfm?programkod=VY001&ver=1&sprak=sv	Agricultural Science Programme - Animal Science (270 hec)	utbildningsplan.cfm?programkod=VY001&ver=1&sprak=en
VY001	2	ht 2012	Agronomprogrammet - husdjur (270 hp)	utbildningsplan.cfm?programkod=VY001&ver=2&sprak=sv	Agricultural Science Programme - Animal Science (270 hec)	utbildningsplan.cfm?programkod=VY001&ver=2&sprak=en
VY001	3	ht 2016	Agronomprogrammet - husdjur (270 hp)	utbildningsplan.cfm?programkod=VY001&ver=3&sprak=sv	Agricultural Science Programme - Animal Science (270 hec)	utbildningsplan.cfm?programkod=VY001&ver=3&sprak=en
