Programkod	Version	Giltig fr.o.m.	Program sve	Program sve_link0	Program eng	Program eng_link0
NK002	1	ht 2013	Biologi med inriktning mot bioteknik - kandidatprogram	utbildningsplan.cfm?programkod=NK002&ver=1&sprak=sv	Biology with specialisation in Biotechnology - Bachelor's Programme	utbildningsplan.cfm?programkod=NK002&ver=1&sprak=en
NK008	2	ht 2015	Lantmästare - kandidatprogram	utbildningsplan.cfm?programkod=NK008&ver=2&sprak=sv	Agricultural and Rural Management Programme	utbildningsplan.cfm?programkod=NK008&ver=2&sprak=en
NK010	1	ht 2017	Lantmästare - kandidatprogram	utbildningsplan.cfm?programkod=NK010&ver=1&sprak=sv	Agricultural and Rural Management	utbildningsplan.cfm?programkod=NK010&ver=1&sprak=en
NK010	2	ht 2018	Lantmästare - kandidatprogram	utbildningsplan.cfm?programkod=NK010&ver=2&sprak=sv	Agricultural and Rural Management	utbildningsplan.cfm?programkod=NK010&ver=2&sprak=en
NK010	3	ht 2021	Lantmästare - kandidatprogram	utbildningsplan.cfm?programkod=NK010&ver=3&sprak=sv	Agricultural and Rural Management	utbildningsplan.cfm?programkod=NK010&ver=3&sprak=en
NK011	1	ht 2017	Ekonomi - hållbar utveckling	utbildningsplan.cfm?programkod=NK011&ver=1&sprak=sv	Business and Economics – Sustainable Development	utbildningsplan.cfm?programkod=NK011&ver=1&sprak=en
NK011	2	ht 2018	Ekonomi - hållbar utveckling	utbildningsplan.cfm?programkod=NK011&ver=2&sprak=sv	Business and Economics – Sustainable Development	utbildningsplan.cfm?programkod=NK011&ver=2&sprak=en
NK012	1	ht 2021	Politices kandidat - hållbar utveckling	utbildningsplan.cfm?programkod=NK012&ver=1&sprak=sv	Political Science - Sustainable Development (BSc)	utbildningsplan.cfm?programkod=NK012&ver=1&sprak=en
NK012	2	ht 2022	Politices kandidat - hållbar utveckling	utbildningsplan.cfm?programkod=NK012&ver=2&sprak=sv	Political Science - Sustainable Development (BSc)	utbildningsplan.cfm?programkod=NK012&ver=2&sprak=en
NK013	1	ht 2021	Agrar ekonomi	utbildningsplan.cfm?programkod=NK013&ver=1&sprak=sv	Agricultural Business and Economics	utbildningsplan.cfm?programkod=NK013&ver=1&sprak=en
NK013	2	ht 2022	Agrar ekonomi	utbildningsplan.cfm?programkod=NK013&ver=2&sprak=sv	Agricultural Business and Economics	utbildningsplan.cfm?programkod=NK013&ver=2&sprak=en
NK014	1	ht 2021	Livsmedelsprogrammet	utbildningsplan.cfm?programkod=NK014&ver=1&sprak=sv	Food Science (BSc)	utbildningsplan.cfm?programkod=NK014&ver=1&sprak=en
NK014	2	ht 2022	Livsmedelsprogrammet	utbildningsplan.cfm?programkod=NK014&ver=2&sprak=sv	Food Science (BSc)	utbildningsplan.cfm?programkod=NK014&ver=2&sprak=en
NK015	1	ht 2021	Samhällsutveckling - landsbygd	utbildningsplan.cfm?programkod=NK015&ver=1&sprak=sv	Rural Development - Societal Change	utbildningsplan.cfm?programkod=NK015&ver=1&sprak=en
NK017	1	ht 2021	Ekonomi - hållbar utveckling (kandidat)	utbildningsplan.cfm?programkod=NK017&ver=1&sprak=sv	Business and Economics – Sustainable Development (BSc)	utbildningsplan.cfm?programkod=NK017&ver=1&sprak=en
NK017	2	ht 2022	Ekonomi - hållbar utveckling (kandidat)	utbildningsplan.cfm?programkod=NK017&ver=2&sprak=sv	Business and Economics – Sustainable Development (BSc)	utbildningsplan.cfm?programkod=NK017&ver=2&sprak=en
NM002	4	ht 2018	Agrar ekonomi och företagsledning - masterprogram	utbildningsplan.cfm?programkod=NM002&ver=4&sprak=sv	Agricultural Economics and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM002&ver=4&sprak=en
NM005	4	ht 2017	Miljöekonomi  och företagsledning - masterprogram	utbildningsplan.cfm?programkod=NM005&ver=4&sprak=sv	Environmental Economics and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM005&ver=4&sprak=en
NM005	5	ht 2018	Miljöekonomi  och företagsledning - masterprogram	utbildningsplan.cfm?programkod=NM005&ver=5&sprak=sv	Environmental Economics and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM005&ver=5&sprak=en
NM005	6	ht 2019	Miljöekonomi  och företagsledning - masterprogram	utbildningsplan.cfm?programkod=NM005&ver=6&sprak=sv	Environmental Economics and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM005&ver=6&sprak=en
NM008	1	ht 2007	Växtbiologi - masterprogram	utbildningsplan.cfm?programkod=NM008&ver=1&sprak=sv	Plant Biology - Master´s Programme	utbildningsplan.cfm?programkod=NM008&ver=1&sprak=en
NM008	2	ht 2010	Växtbiologi - masterprogram	utbildningsplan.cfm?programkod=NM008&ver=2&sprak=sv	Plant Biology - Master´s Programme	utbildningsplan.cfm?programkod=NM008&ver=2&sprak=en
NM008	3	ht 2011	Växtbiologi - masterprogram	utbildningsplan.cfm?programkod=NM008&ver=3&sprak=sv	Plant Biology - Master´s Programme	utbildningsplan.cfm?programkod=NM008&ver=3&sprak=en
NM008	4	ht 2012	Växtbiologi - masterprogram	utbildningsplan.cfm?programkod=NM008&ver=4&sprak=sv	Plant Biology - Master´s Programme	utbildningsplan.cfm?programkod=NM008&ver=4&sprak=en
NM010	1	ht 2007	Uthållig mark- och vattenanvändning - masterprogram	utbildningsplan.cfm?programkod=NM010&ver=1&sprak=sv	Soil and Water Management - Master´s Programme	utbildningsplan.cfm?programkod=NM010&ver=1&sprak=en
NM010	2	ht 2010	Uthållig mark- och vattenanvändning - masterprogram	utbildningsplan.cfm?programkod=NM010&ver=2&sprak=sv	Soil and Water Management - Master´s Programme	utbildningsplan.cfm?programkod=NM010&ver=2&sprak=en
NM010	3	ht 2011	Uthållig mark- och vattenanvändning - masterprogram	utbildningsplan.cfm?programkod=NM010&ver=3&sprak=sv	Soil and Water Management - Master´s Programme	utbildningsplan.cfm?programkod=NM010&ver=3&sprak=en
NM010	4	ht 2012	Uthållig mark- och vattenanvändning - masterprogram	utbildningsplan.cfm?programkod=NM010&ver=4&sprak=sv	Soil and Water Management - Master´s Programme	utbildningsplan.cfm?programkod=NM010&ver=4&sprak=en
NM024	1	ht 2010	Food - Innovation and Market - Master´s Programme	utbildningsplan.cfm?programkod=NM024&ver=1&sprak=sv	Food - Innovation and Market - Master´s Programme	utbildningsplan.cfm?programkod=NM024&ver=1&sprak=en
NM024	2	ht 2012	Food - Innovation and Market - Master´s Programme	utbildningsplan.cfm?programkod=NM024&ver=2&sprak=sv	Food - Innovation and Market - Master´s Programme	utbildningsplan.cfm?programkod=NM024&ver=2&sprak=en
NM025	1	ht 2011	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=1&sprak=sv	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=1&sprak=en
NM025	2	ht 2012	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=2&sprak=sv	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=2&sprak=en
NM025	3	ht 2013	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=3&sprak=sv	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=3&sprak=en
NM025	4	ht 2018	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=4&sprak=sv	EnvEuro - European Master in Environmental Science	utbildningsplan.cfm?programkod=NM025&ver=4&sprak=en
NM026	4	ht 2020	Miljökommunikation - masterprogram	utbildningsplan.cfm?programkod=NM026&ver=4&sprak=sv	Environmental Communication and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM026&ver=4&sprak=en
NM026	5	ht 2022	Miljökommunikation - masterprogram	utbildningsplan.cfm?programkod=NM026&ver=5&sprak=sv	Environmental Communication and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM026&ver=5&sprak=en
NM028	3	ht 2020	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=3&sprak=sv	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=3&sprak=en
NM028	4	ht 2021	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=4&sprak=sv	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=4&sprak=en
NM028	5	ht 2022	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=5&sprak=sv	Sustainable Food Systems – Master´s Programme	utbildningsplan.cfm?programkod=NM028&ver=5&sprak=en
NM029	1	ht 2018	Mark, vatten och miljö - masterprogram	utbildningsplan.cfm?programkod=NM029&ver=1&sprak=sv	Soil, Water and Environment – Master´s Programme	utbildningsplan.cfm?programkod=NM029&ver=1&sprak=en
NM030	1	ht 2018	Policyanalys inom jordbruk, miljö och livsmedel (AFEPA) - masterprogram	utbildningsplan.cfm?programkod=NM030&ver=1&sprak=sv	Agricultural, Food and Environmental Policy Analysis (AFEPA) - Master´s Programme	utbildningsplan.cfm?programkod=NM030&ver=1&sprak=en
NM030	2	ht 2021	Policyanalys inom jordbruk, miljö och livsmedel (AFEPA) - masterprogram	utbildningsplan.cfm?programkod=NM030&ver=2&sprak=sv	Agricultural, Food and Environmental Policy Analysis (AFEPA) - Master´s Programme	utbildningsplan.cfm?programkod=NM030&ver=2&sprak=en
NM031	1	ht 2019	Agrar ekonomi och företagsledning - masterprogram	utbildningsplan.cfm?programkod=NM031&ver=1&sprak=sv	Agricultural Economics and Management - Master´s Programme	utbildningsplan.cfm?programkod=NM031&ver=1&sprak=en
NM032	1	ht 2022	Masterprogrammet Hållbara livsmedelssystem	utbildningsplan.cfm?programkod=NM032&ver=1&sprak=sv	The Master’s Programme Sustainable Food Systems	utbildningsplan.cfm?programkod=NM032&ver=1&sprak=en
NM032	2	ht 2022	Masterprogrammet Hållbara livsmedelssystem	utbildningsplan.cfm?programkod=NM032&ver=2&sprak=sv	The Master’s Programme Sustainable Food Systems	utbildningsplan.cfm?programkod=NM032&ver=2&sprak=en
NY002	1	ht 2007	Agronomprogrammet - livsmedel (270 hp)	utbildningsplan.cfm?programkod=NY002&ver=1&sprak=sv	Agriculture Programme - Food (270 hec)	utbildningsplan.cfm?programkod=NY002&ver=1&sprak=en
NY003	1	ht 2007	Agronomprogrammet - mark/växt (270 hp)	utbildningsplan.cfm?programkod=NY003&ver=1&sprak=sv	Agriculture Programme - Soil/Plant (270hec)	utbildningsplan.cfm?programkod=NY003&ver=1&sprak=en
NY003	2	ht 2010	Agronomprogrammet - mark/växt (270 hp)	utbildningsplan.cfm?programkod=NY003&ver=2&sprak=sv	Agriculture Programme - Soil/Plant (270hec)	utbildningsplan.cfm?programkod=NY003&ver=2&sprak=en
NY003	3	ht 2012	Agronomprogrammet - mark/växt (270 hp)	utbildningsplan.cfm?programkod=NY003&ver=3&sprak=sv	Agriculture Programme - Soil/Plant (270hec)	utbildningsplan.cfm?programkod=NY003&ver=3&sprak=en
NY008	1	ht 2016	Agronomprogrammet - ekonomi	utbildningsplan.cfm?programkod=NY008&ver=1&sprak=sv	Agriculture Programme - Economics and Management	utbildningsplan.cfm?programkod=NY008&ver=1&sprak=en
NY008	2	ht 2017	Agronomprogrammet - ekonomi	utbildningsplan.cfm?programkod=NY008&ver=2&sprak=sv	Agriculture Programme - Economics and Management	utbildningsplan.cfm?programkod=NY008&ver=2&sprak=en
NY008	3	ht 2018	Agronomprogrammet - ekonomi	utbildningsplan.cfm?programkod=NY008&ver=3&sprak=sv	Agriculture Programme - Economics and Management	utbildningsplan.cfm?programkod=NY008&ver=3&sprak=en
NY008	4	ht 2019	Agronomprogrammet - ekonomi	utbildningsplan.cfm?programkod=NY008&ver=4&sprak=sv	Agriculture Programme - Economics and Management	utbildningsplan.cfm?programkod=NY008&ver=4&sprak=en
NY008	5	ht 2021	Agronomprogrammet - ekonomi	utbildningsplan.cfm?programkod=NY008&ver=5&sprak=sv	Agriculture Programme - Economics and Management	utbildningsplan.cfm?programkod=NY008&ver=5&sprak=en
